"","STFIPS","ADMYR","AdmAlc","AdmCoc","AdmMar","AdmHer","AdmOpi","AdmPCP","AdmHal","AdmBen","AdmNMJ"
"1",1,2000,7229,3751,4748,181,734,4,33,152,12732
"2",1,2001,6508,3559,5001,203,896,6,34,140,12394
"3",1,2002,6954,4060,5489,173,1053,10,24,183,13987
"4",1,2003,6853,4412,6238,173,1168,8,25,205,14788
"5",1,2004,5995,4325,5530,199,1256,0,14,206,14231
"6",2,2000,4187,307,477,29,50,0,3,3,4685
"7",2,2001,2858,223,358,14,46,0,4,3,3238
"8",2,2002,4194,222,462,21,109,0,3,7,4687
"9",2,2003,3284,141,368,19,107,0,2,5,3686
"10",4,2000,4269,554,790,380,22,6,6,6,12756
"11",4,2001,5072,723,1005,811,71,10,6,14,13112
"12",4,2002,3937,622,1013,497,68,8,6,16,17486
"13",4,2003,3501,665,1024,615,57,0,10,22,14819
"14",4,2004,7494,1089,2674,603,110,0,36,65,31938
"15",5,2000,5691,1957,2637,59,349,5,24,0,10752
"16",5,2001,4964,1652,2757,31,368,7,24,0,9384
"17",5,2002,5132,2022,3046,52,507,16,26,0,10792
"18",5,2003,4415,2473,2836,65,520,23,20,0,10772
"19",5,2004,2146,970,1441,24,264,6,14,2,4934
"20",6,2000,46956,21323,18786,58080,2280,893,250,215,164607
"21",6,2001,43511,20535,21691,47946,2251,1044,229,219,157092
"22",6,2002,47606,24434,28199,47375,2960,1327,265,247,185224
"23",6,2003,43638,23589,27165,38667,3374,1187,182,255,174996
"24",6,2004,35950,21064,24390,34093,3321,880,152,215,157698
"25",8,2000,42245,2646,5093,1814,396,8,104,72,49935
"26",8,2001,34064,1920,3314,1137,324,3,58,55,39561
"27",8,2002,54615,2966,4513,1677,496,5,48,297,63176
"28",8,2003,49570,2960,4282,1880,605,11,26,214,59098
"29",8,2004,51734,3982,5584,1609,717,7,26,153,63503
"30",9,2000,22995,5643,3896,17093,627,142,78,7,46967
"31",9,2001,18592,5495,3748,17702,839,183,141,63,43926
"32",9,2002,17315,5260,3999,17976,940,200,122,94,42700
"33",9,2003,16385,5629,3272,17380,1177,192,71,139,41993
"34",9,2004,15484,5457,3386,17473,1552,181,72,126,42923
"35",10,2000,2319,1136,1130,1947,86,8,7,12,5593
"36",10,2001,2307,1114,1366,1893,85,10,11,9,5521
"37",10,2002,2230,1277,1391,1697,133,6,3,12,5555
"38",10,2003,2336,1324,1512,1909,172,19,6,14,5979
"39",10,2004,2335,1300,1507,2111,230,11,5,27,6315
"40",11,2000,1269,2071,483,2119,0,43,0,2,5536
"41",11,2001,1109,1923,366,2184,6,105,2,0,5387
"42",11,2002,1038,1884,272,2217,5,205,0,0,5379
"43",11,2003,882,1377,336,2023,6,189,0,0,4495
"44",12,2000,33462,17471,15759,4175,2664,22,222,402,63747
"45",12,2001,27320,13317,14268,3692,3113,6,169,473,52933
"46",12,2002,32667,17283,19205,5037,4089,9,158,569,67882
"47",12,2003,28315,16612,20193,4038,3354,18,104,587,61109
"48",12,2004,12271,8633,11478,1561,1983,9,44,339,28270
"49",13,2000,13249,7921,3805,539,294,0,35,221,26421
"50",13,2001,14701,9203,4720,733,583,0,56,251,31987
"51",13,2002,13238,7678,4729,676,647,4,40,295,29351
"52",13,2003,13615,8541,5427,688,840,10,21,363,30612
"53",13,2004,11115,7494,4922,559,667,2,20,287,26113
"54",15,2000,2528,416,1342,371,67,0,11,7,5306
"55",15,2001,2292,360,1423,199,105,0,7,12,5125
"56",15,2002,2060,338,1421,221,100,4,4,11,5026
"57",15,2003,1622,315,1388,173,100,0,2,9,4811
"58",15,2004,1600,279,1209,153,106,0,0,5,4597
"59",16,2000,2971,127,1341,96,59,0,10,5,4550
"60",16,2001,4268,131,1912,84,88,0,24,2,6517
"61",16,2002,2323,64,1129,37,55,0,4,0,3825
"62",16,2003,1430,32,721,26,48,0,3,2,2394
"63",16,2004,2284,67,1368,66,142,0,12,8,4791
"64",17,2000,25221,13509,11773,9525,571,212,79,83,51325
"65",17,2001,27664,16684,15027,11005,626,170,89,74,58259
"66",17,2002,29074,17040,18471,12280,688,79,55,112,61785
"67",17,2003,28475,17624,20080,15393,768,55,76,147,65601
"68",17,2004,26433,16528,20823,13216,861,53,64,133,60837
"69",18,2000,19608,4829,7377,1395,1174,5,66,320,28422
"70",18,2001,15504,3127,7046,508,909,14,42,205,21416
"71",18,2002,15933,3307,7622,585,951,6,58,279,22876
"72",18,2003,16245,3670,7870,568,1195,3,49,259,23949
"73",18,2004,18577,4391,9315,852,1449,82,322,292,28678
"74",19,2000,14246,1660,6005,218,169,7,30,38,19919
"75",19,2001,14159,1573,6336,224,247,11,41,45,20697
"76",19,2002,13437,1571,6368,252,331,12,23,45,20701
"77",19,2003,12837,1800,6427,240,279,12,16,43,20763
"78",19,2004,13243,1887,6537,239,434,9,20,43,21651
"79",20,2000,6931,2624,3400,85,91,27,24,22,10950
"80",20,2001,6966,2334,3572,75,104,27,28,45,10913
"81",20,2002,6833,2344,3701,67,136,67,14,31,11076
"82",20,2003,6292,2495,3455,77,169,71,15,33,10741
"83",20,2004,6761,2501,3854,68,260,30,12,41,11633
"84",21,2000,6839,1255,2223,110,426,2,20,187,16247
"85",21,2001,9682,1645,3470,168,800,4,28,423,21856
"86",21,2002,9997,2201,3750,217,963,2,23,397,22485
"87",21,2003,11945,3104,4614,289,1423,8,30,547,26042
"88",21,2004,7073,1815,3165,197,1166,3,15,389,17154
"89",22,2000,9937,8611,6246,587,920,6,79,192,21678
"90",22,2001,9902,7730,6097,625,1273,10,68,207,21246
"91",22,2002,10495,7894,5667,677,1649,19,77,239,22964
"92",22,2003,9083,7510,5768,507,1822,15,67,227,21673
"93",22,2004,8588,7428,6296,425,2374,14,98,274,22071
"94",23,2000,7364,276,1328,506,760,0,24,51,9126
"95",23,2001,7485,284,1471,760,1071,0,35,76,9865
"96",23,2002,7204,388,1785,1088,1183,3,42,65,10144
"97",23,2003,8053,590,1736,1097,1502,4,20,106,11629
"98",23,2004,7604,676,1788,1233,1799,4,15,102,11743
"99",24,2000,22250,7206,7724,16354,820,149,108,109,47955
"100",24,2001,24944,7981,9138,19323,1535,191,132,190,55327
"101",24,2002,25075,8907,9782,21191,1734,312,103,148,58484
"102",24,2003,24954,9280,10276,22487,1960,352,127,158,60559
